epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
102,19219,0.52377,0.86742,0.48441,0.97372,0,0.76858,0.6634,0.73063,0.5899,0.76131,0.60912,0.68255,0.51501,0.64247,1.15652,0.60545,1.12857,0,0.00099445,0.00099445,0.00099445
103,19406.8,0.5282,0.88179,0.4851,0.97947,0,0.75054,0.66091,0.74529,0.60353,0.76862,0.61441,0.6956,0.51899,0.62049,1.14376,0.59016,1.11348,0,0.000978903,0.000978903,0.000978903
104,19586.4,0.5279,0.88907,0.50655,0.98555,0,0.74661,0.67571,0.74646,0.60524,0.77966,0.60419,0.68926,0.51944,0.6263,1.13839,0.58558,1.10373,0,0.000963365,0.000963365,0.000963365
105,19770.1,0.53827,0.88745,0.50254,0.99335,0,0.74695,0.68804,0.74305,0.59933,0.70059,0.64365,0.67889,0.51686,0.62236,1.15452,0.61946,1.11858,0,0.000947837,0.000947837,0.000947837
106,19949.8,0.5236,0.86471,0.49322,0.98052,0,0.77432,0.66422,0.7433,0.60246,0.72945,0.62022,0.67867,0.51161,0.61728,1.11135,0.59977,1.0982,0,0.000932325,0.000932325,0.000932325
107,20132.2,0.5075,0.84326,0.48399,0.96599,0,0.81662,0.62392,0.7331,0.59638,0.79686,0.58042,0.67687,0.51218,0.60305,1.10477,0.60039,1.09268,0,0.000916833,0.000916833,0.000916833
108,20310.8,0.505,0.83575,0.47771,0.96785,0,0.78938,0.64735,0.73846,0.60646,0.75888,0.62092,0.68631,0.52249,0.61001,1.12501,0.59891,1.10092,0,0.000901363,0.000901363,0.000901363
109,20490.6,0.50829,0.83389,0.48741,0.9709,0,0.80717,0.63872,0.74009,0.60157,0.7921,0.60912,0.68987,0.51638,0.62561,1.13509,0.60223,1.11252,0,0.00088592,0.00088592,0.00088592
110,20672.6,0.49518,0.83907,0.46507,0.96295,0,0.78041,0.64118,0.72992,0.5992,0.78716,0.58372,0.67295,0.51537,0.6066,1.13772,0.6067,1.10012,0,0.000870508,0.000870508,0.000870508
111,20855.5,0.50503,0.84256,0.47598,0.96916,0,0.77838,0.64612,0.73896,0.60544,0.79377,0.58693,0.69221,0.52923,0.60144,1.12725,0.58208,1.10732,0,0.00085513,0.00085513,0.00085513
112,21036.7,0.48791,0.81678,0.45225,0.96113,0,0.77917,0.66215,0.7414,0.60531,0.77392,0.60296,0.68278,0.5208,0.5864,1.13944,0.60511,1.09949,0,0.00083979,0.00083979,0.00083979
113,21219,0.47757,0.79834,0.45767,0.94955,0,0.77379,0.67324,0.74925,0.60942,0.74958,0.63853,0.69143,0.5287,0.60731,1.12125,0.57968,1.11701,0,0.000824492,0.000824492,0.000824492
114,21398.8,0.48884,0.83388,0.45922,0.96425,0,0.81433,0.63255,0.73838,0.59961,0.78242,0.58972,0.68328,0.51889,0.61711,1.12835,0.60789,1.11616,0,0.000809241,0.000809241,0.000809241
115,21581.8,0.49486,0.84979,0.4651,0.96696,0,0.76653,0.67078,0.75521,0.61409,0.76378,0.61652,0.69782,0.52932,0.61744,1.09257,0.57956,1.1034,0,0.000794038,0.000794038,0.000794038
